N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_36,Y_1_36,X_1_37,Y_1_37,X_1_38,Y_1_38,X_1_39,Y_1_39,X_1_40,Y_1_40,X_1_41,Y_1_41,X_1_44,Y_1_44,X_1_45,Y_1_45,X_1_46,Y_1_46,X_1_39,Y_1_39,X_1_9,Y_1_9,X_1_26,Y_1_26,X_1_1,Y_1_1,X_1_11,Y_1_11,X_1_7,Y_1_7,X_1_19,Y_1_19,X_1_11,Y_1_11,X_1_10,Y_1_10,X_1_46,Y_1_46,X_1_7,Y_1_7,X_1_11,Y_1_11,X_1_21,Y_1_21,X_1_5,Y_1_5,X_1_40,Y_1_40,X_1_45,Y_1_45,X_1_4,Y_1_4,X_1_35,Y_1_35,X_1_33,Y_1_33,X_1_33,Y_1_33,X_1_27,Y_1_27,X_1_25,Y_1_25,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_40,Y_1_40,X_1_15,Y_1_15,X_1_32,Y_1_32,X_1_2,Y_1_2,X_1_7,Y_1_7,X_1_1,Y_1_1,X_1_20,Y_1_20,X_1_20,Y_1_20,X_1_6,Y_1_6,X_1_39,Y_1_39,X_1_5,Y_1_5,X_1_24,Y_1_24,X_1_31,Y_1_31,X_1_22,Y_1_22,X_1_31,Y_1_31,X_1_22,Y_1_22,X_1_25,Y_1_25,X_1_28,Y_1_28,X_1_36,Y_1_36,X_1_23,Y_1_23,X_1_44,Y_1_44,X_1_10,Y_1_10,X_1_7,Y_1_7,X_1_12,Y_1_12
49,100.9306412,0.005642175703,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,101.4542182,0.005187492855,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,102.0445961,0.005819155927,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,101.464736,-0.005682418051,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,102.0928598,0.006190561737,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,101.9291559,-0.001603480364,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,102.7241038,0.00779902411,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,105.4454251,0.0264915554,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,110.1145715,0.04428021794,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,116.5169453,0.0581428391,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,120.3570075,0.03295711341,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,116.4940815,-0.03209556403,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,120.1241819,0.03116124383,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,121.9311658,0.01504263194,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,116.9872005,-0.04054718328,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,116.774809,-0.001815510096,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,119.6166261,0.02433587434,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,118.007105,-0.01345566342,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,118.1584841,0.00128279646,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,118.4263831,0.002267285099,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,120.0610361,0.01380311549,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,123.3429682,0.02733553012,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,124.1657876,0.006670987451,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,123.1369727,-0.008285816006,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,118.1208543,-0.04073608719,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,115.5847294,-0.02147059406,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
49,114.8819681,-0.006080053135,3,0,6,0,2,1,3,1,3,2,4,2,7,2,0,3,5,3,0,4,1,4,3,4,4,4,7,4,4,5,6,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,5,6,4,0,1,2,3,0,0,4,1,7,0,6,2,6,1,5,1,NA,NA,1,1,1,2,6,3,5,0,NA,NA,NA,NA,4,0,NA,NA,1,6,NA,NA,0,5,5,4,4,3,7,3,NA,NA,1,3,NA,NA,2,0,0,2,1,0,1,5,2,5,2,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,4
